"","Var1","Freq"
"1","AACN Adv Crit Care",3
"2","AANA J",1
"3","AAPS J",27
"4","AAPS PharmSci",7
"5","AAPS PharmSciTech",2
"6","Acad Emerg Med",1
"7","Acad Med",1
"8","Acad Pediatr",2
"9","Acad Psychiatry",1
"10","Account Res",1
"11","ACS Chem Neurosci",6
"12","ACS Chem. Biol.",2
"13","ACS Med Chem Lett",1
"14","ACS Nano",1
"15","Acta Anaesthesiol Belg",1
"16","Acta Anaesthesiol Scand",3
"17","Acta Anaesthesiol Taiwan",1
"18","Acta Biochim. Pol.",1
"19","Acta Biomater",2
"20","Acta Cardiol Sin",1
"21","Acta Chim Slov",1
"22","Acta Clin Belg",2
"23","Acta Clin Croat",1
"24","Acta Derm. Venereol.",2
"25","Acta Diabetol",2
"26","Acta Gastroenterol. Belg.",2
"27","Acta Gastroenterol. Latinoam.",1
"28","Acta Haematol.",3
"29","Acta Med Indones",1
"30","Acta Med Iran",5
"31","Acta Medica (Hradec Kralove)",1
"32","Acta Medica (Hradec Kralove) Suppl",1
"33","Acta Naturae",3
"34","Acta Neurobiol Exp (Wars)",1
"35","Acta Neurol Belg",1
"36","Acta Neurol. Scand.",3
"37","Acta Neurol. Scand., Suppl.",1
"38","Acta Neuropathol Commun",1
"39","Acta Neuropathol.",1
"40","Acta Neuropsychiatr",3
"41","Acta Oncol",2
"42","Acta Ophthalmol",4
"43","Acta Orthop",1
"44","Acta Otolaryngol.",1
"45","Acta Paediatr Taiwan",1
"46","Acta Pharm",1
"47","Acta Pharm Sin B",4
"48","Acta Pharmacol. Sin.",31
"49","Acta Physiol (Oxf)",1
"50","Acta Physiol Hung",3
"51","Acta Pol Pharm",5
"52","Acta Psychiatr Scand",1
"53","Acta Psychiatr Scand Suppl",1
"54","Acta Radiol Suppl",1
"55","Acta Trop.",3
"56","Actas Dermosifiliogr",4
"57","Actas Esp Psiquiatr",2
"58","Addict Behav",1
"59","Addict Behav Rep",1
"60","Addict Biol",12
"61","Addict Sci Clin Pract",3
"62","Addiction",11
"63","Adolesc Med",1
"64","Adolesc Med State Art Rev",1
"65","Adv Anat Pathol",1
"66","Adv Appl Bioinform Chem",1
"67","Adv Biomed Res",1
"68","Adv Cardiol",1
"69","Adv Chronic Kidney Dis",8
"70","Adv Clin Chem",2
"71","Adv Clin Exp Med",4
"72","Adv Gerontol",1
"73","Adv Health Econ Health Serv Res",1
"74","Adv Med Educ Pract",1
"75","Adv Med Sci",2
"76","Adv Neurol",1
"77","Adv Pharmacol Sci",1
"78","Adv Protein Chem Struct Biol",5
"79","Adv Psychosom Med",1
"80","Adv Ther",2
"81","Adv. Biochem. Psychopharmacol.",2
"82","Adv. Cancer Res.",1
"83","Adv. Dent. Res.",1
"84","Adv. Drug Deliv. Rev.",23
"85","Adv. Exp. Med. Biol.",18
"86","Adv. Genet.",7
"87","Adv. Parasitol.",1
"88","Adv. Pharmacol.",18
"89","Afr Health Sci",1
"90","Afr J Psychiatry (Johannesbg)",1
"91","Afr J Tradit Complement Altern Med",2
"92","Age (Dordr)",1
"93","Age Ageing",2
"94","Ageing Res. Rev.",3
"95","Aging Cell",3
"96","Aging Clin Exp Res",1
"97","AHIP Cover",1
"98","AIDS",11
"99","AIDS Clin Care",1
"100","AIDS Patient Care STDS",1
"101","AIDS Read",1
"102","AIDS Res Ther",2
"103","AIDS Res Treat",1
"104","AIDS Res. Hum. Retroviruses",4
"105","AIDS Rev",3
"106","AIDS Treat News",1
"107","Alcohol",7
"108","Alcohol Alcohol.",2
"109","Alcohol Res",1
"110","Alcohol Res Health",1
"111","Alcohol. Clin. Exp. Res.",13
"112","Aliment. Pharmacol. Ther.",16
"113","Allergol Immunopathol (Madr)",2
"114","Allergol Int",2
"115","Allergy",6
"116","Allergy Asthma Immunol Res",3
"117","Allergy Asthma Proc",2
"118","Altern Lab Anim",1
"119","Altern Med Rev",1
"120","Altern Ther Health Med",2
"121","ALTEX",1
"122","Alzheimers Dement",1
"123","Alzheimers Res Ther",1
"124","Am Clin Lab",5
"125","Am Fam Physician",6
"126","Am Health Drug Benefits",1
"127","Am Heart Hosp J",1
"128","Am Indian Alsk Native Ment Health Res",1
"129","Am J Addict",2
"130","Am J Alzheimers Dis Other Demen",2
"131","Am J Bioeth",4
"132","Am J Cancer Res",2
"133","Am J Cardiovasc Drugs",6
"134","Am J Clin Dermatol",1
"135","Am J Drug Alcohol Abuse",5
"136","Am J Emerg Med",1
"137","Am J Geriatr Pharmacother",1
"138","Am J Geriatr Psychiatry",1
"139","Am J Health Syst Pharm",68
"140","Am J Infect Control",1
"141","Am J Law Med",3
"142","Am J Manag Care",5
"143","Am J Med Genet C Semin Med Genet",7
"144","Am J Med Technol",1
"145","Am J Nurs",3
"146","Am J Perinatol",4
"147","Am J Pharm Educ",23
"148","Am J Pharmacogenomics",169
"149","Am J Prev Med",1
"150","Am J Psychiatry",34
"151","Am J Psychoanal",1
"152","Am J Public Health",3
"153","Am J Ther",10
"154","Am Pharm",1
"155","Am Soc Clin Oncol Educ Book",2
"156","Am Univ Law Rev",1
"157","Am. Heart J.",9
"158","Am. J. Cardiol.",4
"159","Am. J. Chin. Med.",8
"160","Am. J. Clin. Nutr.",5
"161","Am. J. Clin. Oncol.",2
"162","Am. J. Clin. Pathol.",8
"163","Am. J. Dis. Child.",1
"164","Am. J. Epidemiol.",2
"165","Am. J. Gastroenterol.",4
"166","Am. J. Hematol.",6
"167","Am. J. Hum. Genet.",21
"168","Am. J. Hypertens.",3
"169","Am. J. Kidney Dis.",9
"170","Am. J. Med.",9
"171","Am. J. Med. Genet.",2
"172","Am. J. Med. Genet. A",4
"173","Am. J. Med. Genet. B Neuropsychiatr. Genet.",22
"174","Am. J. Nephrol.",1
"175","Am. J. Obstet. Gynecol.",5
"176","Am. J. Ophthalmol.",1
"177","Am. J. Pathol.",5
"178","Am. J. Physiol.",1
"179","Am. J. Physiol. Endocrinol. Metab.",1
"180","Am. J. Physiol. Gastrointest. Liver Physiol.",1
"181","Am. J. Physiol. Heart Circ. Physiol.",2
"182","Am. J. Physiol. Lung Cell Mol. Physiol.",4
"183","Am. J. Physiol. Regul. Integr. Comp. Physiol.",2
"184","Am. J. Physiol. Renal Physiol.",4
"185","Am. J. Respir. Cell Mol. Biol.",2
"186","Am. J. Respir. Crit. Care Med.",21
"187","Am. J. Surg.",4
"188","Am. J. Transplant.",7
"189","Am. J. Trop. Med. Hyg.",3
"190","AMB Express",1
"191","AMIA Annu Symp Proc",12
"192","AMIA Jt Summits Transl Sci Proc",10
"193","Amino Acids",3
"194","Amyloid",1
"195","Amyotroph Lateral Scler",1
"196","An Pediatr (Barc)",2
"197","An R Acad Nac Med (Madr)",2
"198","An. Acad. Bras. Cienc.",1
"199","Anaesthesia",4
"200","Anaesthesist",5
"201","Anal Bioanal Chem",5
"202","Anal Methods",1
"203","Anal. Biochem.",7
"204","Anal. Chem.",4
"205","Anal. Chim. Acta",1
"206","Anal. Quant. Cytol. Histol.",1
"207","Analyst",1
"208","Andrology",3
"209","Anemia",1
"210","Anesteziol Reanimatol",4
"211","Anesth Prog",2
"212","Anesth. Analg.",13
"213","Anesthesiol Clin",3
"214","Anesthesiology",17
"215","Angew. Chem. Int. Ed. Engl.",1
"216","Angiogenesis",2
"217","Angiology",1
"218","Anim. Genet.",1
"219","Ann Agric Environ Med",1
"220","Ann Am Thorac Soc",3
"221","Ann Appl Stat",1
"222","Ann Cardiol Angeiol (Paris)",1
"223","Ann Clin Transl Neurol",1
"224","Ann Fam Med",2
"225","Ann Fr Anesth Reanim",2
"226","Ann Gastroenterol",3
"227","Ann Health Law",1
"228","Ann Hepatol",5
"229","Ann Indian Acad Neurol",2
"230","Ann Intensive Care",1
"231","Ann Lab Med",2
"232","Ann Med Surg (Lond)",3
"233","Ann Pathol",1
"234","Ann Pharm Fr",14
"235","Ann Pharmacother",28
"236","Ann Thorac Cardiovasc Surg",1
"237","Ann Transl Med",1
"238","Ann. Acad. Med. Singap.",11
"239","Ann. Allergy Asthma Immunol.",2
"240","Ann. Biol. Clin. (Paris)",10
"241","Ann. Clin. Biochem.",6
"242","Ann. Clin. Lab. Sci.",3
"243","Ann. Hematol.",4
"244","Ann. Hum. Biol.",12
"245","Ann. Hum. Genet.",6
"246","Ann. Intern. Med.",9
"247","Ann. Ist. Super. Sanita",1
"248","Ann. Med.",9
"249","Ann. N. Y. Acad. Sci.",15
"250","Ann. Neurol.",6
"251","Ann. Oncol.",34
"252","Ann. Rheum. Dis.",15
"253","Ann. Surg. Oncol.",2
"254","Ann. Thorac. Surg.",1
"255","Ann. Transplant.",5
"256","Annu Rev Clin Psychol",1
"257","Annu Rev Genomics Hum Genet",10
"258","Annu Rev Nurs Res",3
"259","Annu Rev Public Health",1
"260","Annu. Rev. Biochem.",1
"261","Annu. Rev. Genet.",1
"262","Annu. Rev. Med.",13
"263","Annu. Rev. Nutr.",1
"264","Annu. Rev. Pharmacol. Toxicol.",33
"265","Antibiot. Khimioter.",2
"266","Anticancer Agents Med Chem",6
"267","Anticancer Drugs",11
"268","Anticancer Res.",26
"269","Antimicrob. Agents Chemother.",30
"270","Antioxid. Redox Signal.",2
"271","Antivir. Ther. (Lond.)",8
"272","Antiviral Res.",5
"273","AORN J",1
"274","Appetite",2
"275","Appl Clin Genet",1
"276","Appl Clin Inform",1
"277","Appl Health Econ Health Policy",1
"278","Appl Nurs Res",1
"279","Appl Physiol Nutr Metab",1
"280","Appl Transl Genom",4
"281","Arch Cardiol Mex",1
"282","Arch Cardiovasc Dis",3
"283","Arch Dermatol",2
"284","Arch Dis Child Educ Pract Ed",1
"285","Arch Endocrinol Metab",1
"286","Arch Mal Coeur Vaiss",7
"287","Arch Med Sadowej Kryminol",1
"288","Arch Med Sci",2
"289","Arch Pediatr",5
"290","Arch Pediatr Adolesc Med",1
"291","Arch Psychiatr Nurs",2
"292","Arch Soc Esp Oftalmol",1
"293","Arch Womens Ment Health",2
"294","Arch. Biochem. Biophys.",7
"295","Arch. Dermatol. Res.",3
"296","Arch. Dis. Child.",10
"297","Arch. Fr. Pediatr.",1
"298","Arch. Gen. Psychiatry",9
"299","Arch. Gynecol. Obstet.",3
"300","Arch. Immunol. Ther. Exp. (Warsz.)",8
"301","Arch. Intern. Med.",1
"302","Arch. Med. Res.",6
"303","Arch. Neurol.",2
"304","Arch. Ophthalmol.",1
"305","Arch. Pathol. Lab. Med.",13
"306","Arch. Pharm. Res.",8
"307","Arch. Toxicol.",13
"308","Arerugi",2
"309","Arh Hig Rada Toksikol",2
"310","Arq Bras Endocrinol Metabol",1
"311","Arq Neuropsiquiatr",2
"312","Arq. Bras. Cardiol.",1
"313","Arterioscler. Thromb. Vasc. Biol.",11
"314","Arthritis Res.",1
"315","Arthritis Res. Ther.",4
"316","Arthritis Rheum.",9
"317","Artif Intell Med",2
"318","Artif Organs",1
"319","Arzneimittelforschung",4
"320","ASAIO J.",1
"321","Asia Pac Allergy",3
"322","Asia Pac J Clin Oncol",1
"323","Asia Pac J Public Health",1
"324","Asia Pac Psychiatry",2
"325","Asian J Psychiatr",5
"326","Asian J. Androl.",3
"327","Asian Pac J Trop Med",1
"328","Asian Pac. J. Allergy Immunol.",1
"329","Asian Pac. J. Cancer Prev.",11
"330","Assay Drug Dev Technol",3
"331","Assist Inferm Ric",1
"332","Asthma Res Pract",1
"333","Atherosclerosis",20
"334","Atten Defic Hyperact Disord",1
"335","Audiol. Neurootol.",1
"336","Aust Fam Physician",3
"337","Aust N Z J Psychiatry",10
"338","Aust New Zealand Health Policy",1
"339","Aust Prescr",3
"340","Australas Med J",1
"341","Australas Phys Eng Sci Med",1
"342","Australas. J. Dermatol.",3
"343","Autism Res",2
"344","Autoimmun Rev",5
"345","Autoimmune Dis",1
"346","Autoimmunity",3
"347","Autophagy",5
"348","Aviat Space Environ Med",1
"349","Avicenna J Med Biotechnol",1
"350","Ayu",1
"351","Balkan J. Med. Genet.",2
"352","Balkan Med J",1
"353","Bangladesh Med Res Counc Bull",1
"354","Basic Clin. Pharmacol. Toxicol.",33
"355","Basic Life Sci.",1
"356","Basic Res. Cardiol.",1
"357","Behav Brain Funct",1
"358","Behav Pharmacol",1
"359","Behav. Brain Res.",2
"360","Behav. Genet.",6
"361","Benefits Q",1
"362","Best Pract Res Clin Anaesthesiol",3
"363","Best Pract Res Clin Gastroenterol",4
"364","Best Pract Res Clin Haematol",5
"365","Best Pract Res Clin Obstet Gynaecol",1
"366","Best Pract Res Clin Rheumatol",2
"367","Best Pract. Res. Clin. Endocrinol. Metab.",5
"368","Bioanalysis",2
"369","Biochem Biophys Rep",2
"370","Biochem Med (Zagreb)",1
"371","Biochem. Biophys. Res. Commun.",39
"372","Biochem. Genet.",6
"373","Biochem. J.",15
"374","Biochem. Pharmacol.",48
"375","Biochem. Soc. Symp.",1
"376","Biochem. Soc. Trans.",3
"377","Biochemistry",8
"378","Biochim. Biophys. Acta",27
"379","Biochimie",6
"380","Bioconjug. Chem.",6
"381","Biocontrol Sci",1
"382","BioData Min",3
"383","BioDrugs",2
"384","Bioessays",3
"385","Bioethics",7
"386","Bioimpacts",2
"387","Bioinform Biol Insights",2
"388","Bioinformatics",20
"389","Bioinformation",6
"390","Biol Open",1
"391","Biol Proced Online",1
"392","Biol Psychiatry Cogn Neurosci Neuroimaging",1
"393","Biol Res Nurs",5
"394","Biol Res Pregnancy Perinatol",1
"395","Biol. Blood Marrow Transplant.",6
"396","Biol. Direct",1
"397","Biol. Pharm. Bull.",11
"398","Biol. Psychiatry",31
"399","Biologicals",2
"400","Biologics",1
"401","Biologist (London)",1
"402","Biom J",1
"403","Biomacromolecules",1
"404","Biomark Med",17
"405","Biomark Res",2
"406","Biomarkers",2
"407","Biomaterials",6
"408","Biomed Inform Insights",1
"409","Biomed Khim",2
"410","Biomed Mater Eng",1
"411","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub",1
"412","Biomed Rep",5
"413","Biomed Res Int",27
"414","Biomed. Chromatogr.",9
"415","Biomed. Environ. Sci.",1
"416","Biomed. Pharmacother.",7
"417","Biomedica",1
"418","Biomedicine (Taipei)",1
"419","Biometrics",7
"420","Biometrika",1
"421","Biomol NMR Assign",1
"422","Biomol Ther (Seoul)",1
"423","Bioorg. Chem.",9
"424","Bioorg. Med. Chem.",4
"425","Bioorg. Med. Chem. Lett.",2
"426","Biopharm Drug Dispos",2
"427","Biopreserv Biobank",1
"428","Biosci. Biotechnol. Biochem.",1
"429","Biosci. Rep.",3
"430","Biosens Bioelectron",3
"431","Biosocieties",1
"432","BioSystems",1
"433","BioTechniques",24
"434","Biotechnol Annu Rev",1
"435","Biotechnol Healthc",7
"436","Biotechnol. Appl. Biochem.",1
"437","Biotechnol. Lett.",2
"438","Bipolar Disord",4
"439","Birth Defects Orig. Artic. Ser.",1
"440","Birth Defects Res. Part A Clin. Mol. Teratol.",6
"441","BJOG",7
"442","BJU Int.",1
"443","Bladder Cancer",1
"444","Blood",46
"445","Blood Cells Mol. Dis.",5
"446","Blood Coagul. Fibrinolysis",5
"447","Blood Press Monit",1
"448","Blood Rev.",3
"449","BMB Rep",3
"450","BMC Bioinformatics",18
"451","BMC Biotechnol.",2
"452","BMC Cancer",18
"453","BMC Cardiovasc Disord",2
"454","BMC Complement Altern Med",7
"455","BMC Evol. Biol.",1
"456","BMC Fam Pract",1
"457","BMC Gastroenterol",1
"458","BMC Genet.",9
"459","BMC Genomics",20
"460","BMC Geriatr",1
"461","BMC Health Serv Res",1
"462","BMC Infect. Dis.",4
"463","BMC Med",10
"464","BMC Med Ethics",1
"465","BMC Med Genomics",21
"466","BMC Med Inform Decis Mak",3
"467","BMC Med. Genet.",19
"468","BMC Microbiol.",1
"469","BMC Mol. Biol.",1
"470","BMC Musculoskelet Disord",2
"471","BMC Nephrol",1
"472","BMC Ophthalmol",2
"473","BMC Oral Health",1
"474","BMC Pediatr",1
"475","BMC Pharmacol Toxicol",1
"476","BMC Physiol.",1
"477","BMC Pregnancy Childbirth",1
"478","BMC Proc",2
"479","BMC Psychiatry",7
"480","BMC Public Health",2
"481","BMC Res Notes",6
"482","BMC Syst Biol",3
"483","BMJ",23
"484","BMJ Case Rep",1
"485","BMJ Open",8
"486","BMJ Open Respir Res",1
"487","Bone",2
"488","Bone Marrow Transplant.",4
"489","Bone Rep",1
"490","Bosn J Basic Med Sci",3
"491","Br J Anaesth",7
"492","Br J Clin Pharmacol",168
"493","Br J Gen Pract",3
"494","Br J Hosp Med",1
"495","Br J Ind Med",1
"496","Br J Nurs",2
"497","Br J Ophthalmol",2
"498","Br J Pain",2
"499","Br J Psychiatry",1
"500","Br J Psychiatry Suppl",1
"501","Br Med J (Clin Res Ed)",1
"502","Br. J. Cancer",40
"503","Br. J. Dermatol.",15
"504","Br. J. Haematol.",13
"505","Br. J. Nutr.",1
"506","Br. J. Pharmacol.",34
"507","Br. J. Rheumatol.",1
"508","Br. Med. Bull.",5
"509","Brain",7
"510","Brain Behav",2
"511","Brain Behav. Immun.",2
"512","Brain Dev.",3
"513","Brain Nerve",4
"514","Brain Res.",7
"515","Brain Res. Bull.",1
"516","Brain Struct Funct",1
"517","Bratisl Lek Listy",5
"518","Braz. J. Med. Biol. Res.",4
"519","Breast",2
"520","Breast Cancer",5
"521","Breast Cancer (Dove Med Press)",4
"522","Breast Cancer Res.",10
"523","Breast Cancer Res. Treat.",18
"524","Breast Care (Basel)",1
"525","Brief Funct Genomic Proteomic",6
"526","Brief Funct Genomics",1
"527","Brief. Bioinformatics",17
"528","Bull Cancer",18
"529","Bull Environ Contam Toxicol",1
"530","Bull Med Ethics",1
"531","Bull NYU Hosp Jt Dis",4
"532","Bull Soc Sci Med Grand Duche Luxemb",1
"533","Bull. Acad. Natl. Med.",8
"534","Bull. Exp. Biol. Med.",8
"535","Bull. Mem. Acad. R. Med. Belg.",1
"536","Bull. World Health Organ.",1
"537","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz",17
"538","Burns",1
"539","C. R. Acad. Sci. III, Sci. Vie",1
"540","C. R. Biol.",1
"541","CA Cancer J Clin",2
"542","Cad Saude Publica",1
"543","Calcif. Tissue Int.",3
"544","Camb Q Healthc Ethics",1
"545","Can Fam Physician",1
"546","Can J Anaesth",9
"547","Can J Cardiol",11
"548","Can J Clin Pharmacol",1
"549","Can J Kidney Health Dis",1
"550","Can J Neurol Sci",1
"551","Can J Psychiatry",7
"552","Can Pharm J (Ott)",1
"553","Can. J. Ophthalmol.",2
"554","Can. J. Physiol. Pharmacol.",4
"555","Can. Respir. J.",2
"556","Can. Vet. J.",1
"557","Cancer",18
"558","Cancer Biol. Ther.",10
"559","Cancer Biomark",4
"560","Cancer Biother. Radiopharm.",3
"561","Cancer Causes Control",1
"562","Cancer Cell",5
"563","Cancer Cell Int.",2
"564","Cancer Chemother. Pharmacol.",71
"565","Cancer Control",3
"566","Cancer Cytopathol",3
"567","Cancer Detect. Prev.",2
"568","Cancer Discov",4
"569","Cancer Epidemiol",4
"570","Cancer Epidemiol. Biomarkers Prev.",9
"571","Cancer Gene Ther.",2
"572","Cancer Genet. Cytogenet.",2
"573","Cancer Genomics Proteomics",4
"574","Cancer Immunol. Immunother.",3
"575","Cancer Inform",3
"576","Cancer Invest.",8
"577","Cancer J",8
"578","Cancer Lett.",20
"579","Cancer Manag Res",1
"580","Cancer Med",3
"581","Cancer Metastasis Rev.",2
"582","Cancer Microenviron",1
"583","Cancer Prev Res (Phila)",3
"584","Cancer Res Treat",1
"585","Cancer Res.",21
"586","Cancer Sci.",16
"587","Cancer Surv.",3
"588","Cancer Treat. Res.",2
"589","Cancer Treat. Rev.",19
"590","Canine Genet Epidemiol",2
"591","Carcinogenesis",7
"592","Card Electrophysiol Clin",1
"593","Cardiol Clin",2
"594","Cardiol J",1
"595","Cardiol Res Pract",2
"596","Cardiol Rev",3
"597","Cardiology",2
"598","Cardiovasc Diabetol",1
"599","Cardiovasc Diagn Ther",1
"600","Cardiovasc Drug Rev",1
"601","Cardiovasc Drugs Ther",9
"602","Cardiovasc Hematol Agents Med Chem",4
"603","Cardiovasc Hematol Disord Drug Targets",2
"604","Cardiovasc Ther",12
"605","Cardiovasc. Res.",12
"606","Cardiovasc. Toxicol.",3
"607","Care Manag J",1
"608","Caring",1
"609","Cas. Lek. Cesk.",6
"610","Case Rep Oncol",1
"611","Catheter Cardiovasc Interv",1
"612","Cell",7
"613","Cell Biochem. Biophys.",1
"614","Cell Biochem. Funct.",2
"615","Cell Biol. Int.",1
"616","Cell Biosci",2
"617","Cell Calcium",1
"618","Cell Chem Biol",3
"619","Cell Cycle",9
"620","Cell Death Differ.",2
"621","Cell Death Dis",3
"622","Cell Death Discov",1
"623","Cell J",1
"624","Cell Metab.",9
"625","Cell Oncol (Dordr)",1
"626","Cell Rep",6
"627","Cell Stem Cell",1
"628","Cell Syst",1
"629","Cell Tissue Bank",2
"630","Cell Transplant",1
"631","Cell. Mol. Biol. (Noisy-le-grand)",2
"632","Cell. Mol. Life Sci.",4
"633","Cell. Mol. Neurobiol.",4
"634","Cell. Physiol. Biochem.",6
"635","Cell. Signal.",5
"636","Cells",1
"637","Cent Afr J Med",1
"638","Cent Asian J Glob Health",1
"639","Cent Eur J Immunol",2
"640","Cent Nerv Syst Agents Med Chem",3
"641","Cephalalgia",3
"642","Cereb. Cortex",2
"643","Cerebellum",1
"644","Cerebrovasc. Dis.",2
"645","Cesk Patol",1
"646","Ceska Slov Farm",2
"647","Chang Gung Med J",1
"648","Chem Biol Drug Des",4
"649","Chem Cent J",2
"650","Chem Immunol Allergy",2
"651","Chem. Biodivers.",3
"652","Chem. Biol.",3
"653","Chem. Biol. Interact.",9
"654","Chem. Commun. (Camb.)",1
"655","Chem. Phys. Lipids",2
"656","Chem. Res. Toxicol.",5
"657","Chem. Rev.",1
"658","ChemistryOpen",1
"659","Chemotherapy",1
"660","Chest",7
"661","Child Adolesc Psychiatr Clin N Am",3
"662","Child Adolesc Psychiatry Ment Health",1
"663","Chin J Cancer",9
"664","Chin J Integr Med",1
"665","Chin J Nat Med",1
"666","Chin Med",2
"667","Chin. Med. J.",2
"668","Christ Sch Rev",1
"669","Chromosoma",1
"670","Chronobiol. Int.",1
"671","Chudoku Kenkyu",1
"672","Circ Arrhythm Electrophysiol",1
"673","Circ Cardiovasc Genet",25
"674","Circ Cardiovasc Interv",2
"675","Circ Cardiovasc Qual Outcomes",1
"676","Circ Genom Precis Med",6
"677","Circ Heart Fail",1
"678","Circ. J.",7
"679","Circ. Res.",31
"680","Circulation",37
"681","Cleve Clin J Med",9
"682","Climacteric",1
"683","Clin Adv Hematol Oncol",13
"684","Clin Allergy Immunol",1
"685","Clin Biochem Rev",2
"686","Clin Cardiol",4
"687","Clin Case Rep",1
"688","Clin Cases Miner Bone Metab",5
"689","Clin Colorectal Cancer",15
"690","Clin Drug Investig",3
"691","Clin Epigenetics",7
"692","Clin Genitourin Cancer",2
"693","Clin Interv Aging",2
"694","Clin Invest Med",2
"695","Clin Investig",1
"696","Clin J Am Soc Nephrol",6
"697","Clin J Oncol Nurs",8
"698","Clin J Pain",7
"699","Clin Kidney J",3
"700","Clin Lab Sci",1
"701","Clin Leadersh Manag Rev",1
"702","Clin Liver Dis",1
"703","Clin Lung Cancer",9
"704","Clin Lymphoma Myeloma",1
"705","Clin Lymphoma Myeloma Leuk",1
"706","Clin Med (Lond)",6
"707","Clin Med Insights Case Rep",1
"708","Clin Med Insights Gastroenterol",1
"709","Clin Med Insights Oncol",1
"710","Clin Med Res",6
"711","Clin Neuropharmacol",7
"712","Clin Nurse Spec",3
"713","Clin Nutr",1
"714","Clin Obstet Gynecol",2
"715","Clin Oncol (R Coll Radiol)",1
"716","Clin Ophthalmol",5
"717","Clin Pediatr (Phila)",2
"718","Clin Perinatol",2
"719","Clin Pharmacokinet",77
"720","Clin Pharmacol",2
"721","Clin Pharmacol Drug Dev",7
"722","Clin Physiol Funct Imaging",1
"723","Clin Proteomics",1
"724","Clin Psychol Sci",1
"725","Clin Psychopharmacol Neurosci",3
"726","Clin Res Cardiol Suppl",1
"727","Clin Res Hepatol Gastroenterol",1
"728","Clin Rev Allergy Immunol",4
"729","Clin Sarcoma Res",1
"730","Clin Schizophr Relat Psychoses",2
"731","Clin Ter",1
"732","Clin Ther",17
"733","Clin Toxicol (Phila)",2
"734","Clin Transl Allergy",1
"735","Clin Transl Immunology",1
"736","Clin Transl Med",3
"737","Clin Transl Oncol",6
"738","Clin Transl Sci",28
"739","Clin Transplant",9
"740","Clin Trials",5
"741","Clin. Appl. Thromb. Hemost.",7
"742","Clin. Biochem.",11
"743","Clin. Breast Cancer",5
"744","Clin. Cancer Res.",93
"745","Clin. Chem.",40
"746","Clin. Chem. Lab. Med.",55
"747","Clin. Chest Med.",1
"748","Clin. Chim. Acta",46
"749","Clin. Dermatol.",1
