"","Var1","Freq"
"750","Clin. Endocrinol. (Oxf)",1
"751","Clin. Exp. Allergy",14
"752","Clin. Exp. Dermatol.",1
"753","Clin. Exp. Hypertens.",2
"754","Clin. Exp. Immunol.",2
"755","Clin. Exp. Med.",1
"756","Clin. Exp. Nephrol.",1
"757","Clin. Exp. Pharmacol. Physiol.",27
"758","Clin. Exp. Rheumatol.",8
"759","Clin. Experiment. Ophthalmol.",3
"760","Clin. Gastroenterol. Hepatol.",5
"761","Clin. Genet.",29
"762","Clin. Geriatr. Med.",1
"763","Clin. Immunol.",5
"764","Clin. Infect. Dis.",12
"765","Clin. Lab.",4
"766","Clin. Lab. Med.",26
"767","Clin. Microbiol. Infect.",1
"768","Clin. Microbiol. Rev.",1
"769","Clin. Neurosci.",1
"770","Clin. Pharmacol. Ther.",447
"771","Clin. Rheumatol.",2
"772","Clin. Sci.",6
"773","Clinics (Sao Paulo)",1
"774","CMAJ",5
"775","CMAJ Open",1
"776","CNS Drugs",15
"777","CNS Neurol Disord Drug Targets",6
"778","CNS Neurosci Ther",11
"779","CNS Spectr",11
"780","Cogn Behav Neurol",1
"781","Cogn Neuropsychiatry",1
"782","Cold Spring Harb Perspect Med",3
"783","Cold Spring Harb Protoc",1
"784","Cold Spring Harb. Symp. Quant. Biol.",1
"785","Coll Antropol",3
"786","Colomb. Med.",3
"787","Comb. Chem. High Throughput Screen.",4
"788","Community Genet",6
"789","Comp. Funct. Genomics",2
"790","Compend Contin Educ Dent",1
"791","Compend Contin Educ Gen Dent",1
"792","Compr Physiol",3
"793","Comput Biol Chem",1
"794","Comput Math Methods Med",3
"795","Comput Methods Programs Biomed",1
"796","Comput Struct Biotechnol J",1
"797","Comput. Biol. Med.",1
"798","Congenit Anom (Kyoto)",2
"799","Congenit Heart Dis",1
"800","Congest Heart Fail",5
"801","Conn Med",2
"802","Consult Pharm",5
"803","Contemp Clin Trials",5
"804","Contemp Oncol (Pozn)",1
"805","Continuum (Minneap Minn)",1
"806","Contraception",1
"807","COPD",1
"808","Coron. Artery Dis.",13
"809","Cortex",1
"810","CPT Pharmacometrics Syst Pharmacol",7
"811","Crit Care",3
"812","Crit Care Nurs Clin North Am",1
"813","Crit Care Nurse",2
"814","Crit Pathw Cardiol",1
"815","Crit Rev Clin Lab Sci",5
"816","Crit Rev Ther Drug Carrier Syst",1
"817","Crit. Care Med.",8
"818","Crit. Rev. Biochem. Mol. Biol.",1
"819","Crit. Rev. Oncol. Hematol.",11
"820","Croat. Med. J.",4
"821","Cuad Bioet",2
"822","Cult Med Psychiatry",3
"823","Cureus",7
"824","Curr Aging Sci",1
"825","Curr Allergy Asthma Rep",7
"826","Curr Alzheimer Res",2
"827","Curr Atheroscler Rep",11
"828","Curr Behav Neurosci Rep",1
"829","Curr Cancer Drug Targets",6
"830","Curr Cardiol Rep",7
"831","Curr Clin Pharmacol",13
"832","Curr Clin Top Infect Dis",1
"833","Curr Comput Aided Drug Des",1
"834","Curr Drug Abuse Rev",1
"835","Curr Drug Deliv",3
"836","Curr Drug Discov Technol",3
"837","Curr Drug Saf",7
"838","Curr Drug Targets",21
"839","Curr Fungal Infect Rep",1
"840","Curr Gastroenterol Rep",2
"841","Curr Gene Ther",1
"842","Curr Genet Med Rep",3
"843","Curr Heart Fail Rep",6
"844","Curr Hematol Malig Rep",1
"845","Curr HIV/AIDS Rep",3
"846","Curr Hypertens Rev",3
"847","Curr Infect Dis Rep",1
"848","Curr Issues Mol Biol",3
"849","Curr Med Chem Anticancer Agents",1
"850","Curr Med Chem Cardiovasc Hematol Agents",1
"851","Curr Med Res Opin",5
"852","Curr Neurol Neurosci Rep",3
"853","Curr Neuropharmacol",4
"854","Curr Obes Rep",1
"855","Curr Oncol Rep",9
"856","Curr Opin Allergy Clin Immunol",11
"857","Curr Opin Anaesthesiol",12
"858","Curr Opin Chem Biol",5
"859","Curr Opin Clin Nutr Metab Care",1
"860","Curr Opin Crit Care",3
"861","Curr Opin Drug Discov Devel",14
"862","Curr Opin Endocrinol Diabetes Obes",5
"863","Curr Opin HIV AIDS",4
"864","Curr Opin Investig Drugs",6
"865","Curr Opin Oncol",8
"866","Curr Opin Organ Transplant",4
"867","Curr Opin Pharmacol",18
"868","Curr Opin Psychiatry",8
"869","Curr Opin Pulm Med",11
"870","Curr Opin Rheumatol",9
"871","Curr Opin Support Palliat Care",3
"872","Curr Opin Urol",2
"873","Curr Opin Virol",1
"874","Curr Osteoporos Rep",1
"875","Curr Pharm Biotechnol",16
"876","Curr Pharm Teach Learn",2
"877","Curr Pharmacogenomics Person Med",34
"878","Curr Pharmacol Rep",1
"879","Curr Probl Cancer",1
"880","Curr Probl Cardiol",1
"881","Curr Probl Pediatr Adolesc Health Care",2
"882","Curr Protoc Bioinformatics",1
"883","Curr Protoc Hum Genet",2
"884","Curr Protoc Pharmacol",2
"885","Curr Psychiatry Rep",16
"886","Curr Psychiatry Rev",1
"887","Curr Rheumatol Rep",2
"888","Curr Ther Res Clin Exp",2
"889","Curr Top Behav Neurosci",5
"890","Curr Top Med Chem",18
"891","Curr Transplant Rep",1
"892","Curr Treat Options Cardiovasc Med",5
"893","Curr Treat Options Oncol",2
"894","Curr Treat Options Psychiatry",1
"895","Curr Vasc Pharmacol",9
"896","Curr. Biol.",6
"897","Curr. Diab. Rep.",4
"898","Curr. Drug Metab.",76
"899","Curr. Drug Targets Immune Endocr. Metabol. Disord.",1
"900","Curr. Eye Res.",1
"901","Curr. Genet.",2
"902","Curr. Genomics",7
"903","Curr. Hematol. Rep.",1
"904","Curr. HIV Res.",1
"905","Curr. Hypertens. Rep.",12
"906","Curr. Med. Chem.",17
"907","Curr. Mol. Med.",12
"908","Curr. Opin. Biotechnol.",4
"909","Curr. Opin. Cardiol.",13
"910","Curr. Opin. Gastroenterol.",2
"911","Curr. Opin. Genet. Dev.",3
"912","Curr. Opin. Hematol.",5
"913","Curr. Opin. Immunol.",1
"914","Curr. Opin. Infect. Dis.",2
"915","Curr. Opin. Lipidol.",7
"916","Curr. Opin. Mol. Ther.",33
"917","Curr. Opin. Nephrol. Hypertens.",8
"918","Curr. Opin. Neurobiol.",1
"919","Curr. Opin. Neurol.",6
"920","Curr. Opin. Obstet. Gynecol.",2
"921","Curr. Opin. Pediatr.",9
"922","Curr. Pharm. Des.",81
"923","Cutan Ocul Toxicol",1
"924","Cytogenet. Genome Res.",7
"925","Cytokine",3
"926","Cytokine Growth Factor Rev.",2
"927","Cytometry",1
"928","Cytometry A",1
"929","Daru",1
"930","Data Brief",1
"931","Database (Oxford)",4
"932","De Paul Law Rev",1
"933","Del Med J",2
"934","Dement Geriatr Cogn Disord",1
"935","DePaul J Health Care Law",1
"936","Depress Anxiety",7
"937","Dermatol Clin",2
"938","Dermatol Ther",1
"939","Dev Biol (Basel)",1
"940","Dev Disabil Res Rev",3
"941","Dev Med Child Neurol",2
"942","Dev Pharmacol Ther",1
"943","Dev World Bioeth",1
"944","Dev. Growth Differ.",1
"945","Diabet. Med.",4
"946","Diabetes",20
"947","Diabetes Care",8
"948","Diabetes Educ",1
"949","Diabetes Metab Syndr",2
"950","Diabetes Metab Syndr Obes",1
"951","Diabetes Obes Metab",5
"952","Diabetes Res. Clin. Pract.",7
"953","Diabetes Technol. Ther.",2
"954","Diabetol Metab Syndr",1
"955","Diabetologia",10
"956","Diagn. Microbiol. Infect. Dis.",9
"957","Dialogues Clin Neurosci",25
"958","Dig Dis",1
"959","Dig Liver Dis",2
"960","Dig. Dis. Sci.",6
"961","Dis Manag",1
"962","Dis Model Mech",1
"963","Dis. Colon Rectum",2
"964","Dis. Esophagus",1
"965","Dis. Markers",11
"966","Discov Med",11
"967","Diseases",2
"968","DNA Cell Biol.",5
"969","DNA Repair (Amst.)",1
"970","DNA Res.",2
"971","Doc Ophthalmol",1
"972","Drug Alcohol Depend",8
"973","Drug Alcohol Rev",1
"974","Drug Chem Toxicol",1
"975","Drug Des Devel Ther",19
"976","Drug Dev. Res.",3
"977","Drug Discov Ther",3
"978","Drug Discov Today Technol",4
"979","Drug Discov. Today",64
"980","Drug Metab Lett",7
"981","Drug Metab Pers Ther",35
"982","Drug Metab. Dispos.",136
"983","Drug Metab. Pharmacokinet.",91
"984","Drug Metab. Rev.",48
"985","Drug Metabol Drug Interact",34
"986","Drug News Perspect.",14
"987","Drug Res (Stuttg)",1
"988","Drug Resist. Updat.",8
"989","Drug Saf",25
"990","Drug Saf Case Rep",1
"991","Drug Test Anal",1
"992","Drug Ther Bull",1
"993","Drugs",5
"994","Drugs Aging",4
"995","Drugs R D",2
"996","Drugs Real World Outcomes",1
"997","Drugs Today",8
"998","Dtsch. Med. Wochenschr.",29
"999","Duke Med Health News",2
"1000","Duodecim",5
"1001","Early Hum. Dev.",1
"1002","East Asian Arch Psychiatry",1
"1003","EBioMedicine",8
"1004","EGEMS (Wash DC)",1
"1005","EHP Toxicogenomics",9
"1006","Einstein (Sao Paulo)",1
"1007","EJIFCC",8
"1008","Eksp Klin Farmakol",12
"1009","Electrophoresis",2
"1010","Elife",5
"1011","EMBO J.",2
"1012","EMBO Mol Med",1
"1013","EMBO Rep.",5
"1014","Emory Law J",1
"1015","Empl Benefits J",1
"1016","Encephale",7
"1017","Endocr Dev",1
"1018","Endocr Metab Immune Disord Drug Targets",2
"1019","Endocr Pract",1
"1020","Endocr Regul",1
"1021","Endocr. J.",4
"1022","Endocr. Relat. Cancer",3
"1023","Endocr. Res.",2
"1024","Endocr. Rev.",2
"1025","Endocrine",1
"1026","Endocrinol. Metab. Clin. North Am.",1
"1027","Endocrinology",7
"1028","Enferm. Infecc. Microbiol. Clin.",7
"1029","Environ Health",1
"1030","Environ. Health Perspect.",16
"1031","Environ. Mol. Mutagen.",4
"1032","Environ. Res.",3
"1033","Environ. Toxicol.",2
"1034","Environ. Toxicol. Pharmacol.",8
"1035","Enzyme",1
"1036","Enzyme Res",1
"1037","Epidemiol Prev",1
"1038","Epidemiol Psychiatr Sci",1
"1039","Epidemiology",1
"1040","Epigenetics",2
"1041","Epigenetics Chromatin",3
"1042","Epigenomics",5
"1043","Epilepsia",47
"1044","Epilepsy Behav",5
"1045","Epilepsy Curr",1
"1046","Epilepsy Res.",14
"1047","Epileptic Disord",2
"1048","EPMA J",6
"1049","Ernst Schering Res. Found. Workshop",10
"1050","ESC Heart Fail",1
"1051","ESMO Open",3
"1052","Essent Psychopharmacol",1
"1053","Ethn Dis",3
"1054","Eubios J Asian Int Bioeth",1
"1055","Eur Arch Otorhinolaryngol",1
"1056","Eur Arch Paediatr Dent",1
"1057","Eur Arch Psychiatry Clin Neurosci",18
"1058","Eur Child Adolesc Psychiatry",2
"1059","Eur Clin Respir J",1
"1060","Eur J Anaesthesiol",5
"1061","Eur J Cancer Care (Engl)",1
"1062","Eur J Clin Chem Clin Biochem",1
"1063","Eur J Clin Nutr",3
"1064","Eur J Dermatol",2
"1065","Eur J Drug Metab Pharmacokinet",10
"1066","Eur J Gastroenterol Hepatol",2
"1067","Eur J Haematol Suppl",1
"1068","Eur J Med Chem",8
"1069","Eur J Med Genet",1
"1070","Eur J Pain",2
"1071","Eur J Pharm Biopharm",1
"1072","Eur J Pharm Sci",21
"1073","Eur J Prev Cardiol",1
"1074","Eur J Surg Oncol",1
"1075","Eur J Surg Suppl",1
"1076","Eur J Vasc Endovasc Surg",1
"1077","Eur Neuropsychopharmacol",34
"1078","Eur Rev Med Pharmacol Sci",8
"1079","Eur. Heart J.",13
"1080","Eur. J. Biochem.",2
"1081","Eur. J. Cancer",31
"1082","Eur. J. Cancer Prev.",1
"1083","Eur. J. Clin. Invest.",4
"1084","Eur. J. Clin. Microbiol. Infect. Dis.",4
"1085","Eur. J. Clin. Pharmacol.",163
"1086","Eur. J. Endocrinol.",6
"1087","Eur. J. Epidemiol.",2
"1088","Eur. J. Gynaecol. Oncol.",1
"1089","Eur. J. Haematol.",6
"1090","Eur. J. Heart Fail.",4
"1091","Eur. J. Hum. Genet.",19
"1092","Eur. J. Immunol.",3
"1093","Eur. J. Intern. Med.",4
"1094","Eur. J. Med. Res.",2
"1095","Eur. J. Neurol.",3
"1096","Eur. J. Neurosci.",1
"1097","Eur. J. Nucl. Med. Mol. Imaging",1
"1098","Eur. J. Obstet. Gynecol. Reprod. Biol.",2
"1099","Eur. J. Paediatr. Neurol.",3
"1100","Eur. J. Pediatr.",5
"1101","Eur. J. Pharmacol.",32
"1102","Eur. Neurol.",1
"1103","Eur. Psychiatry",2
"1104","Eur. Respir. J.",7
"1105","Eur. Urol.",7
"1106","EuroIntervention",1
"1107","Evid Based Cardiovasc Med",1
"1108","Evid Based Complement Alternat Med",21
"1109","Evol. Bioinform. Online",1
"1110","EXCLI J",1
"1111","Exp Brain Res",1
"1112","Exp Clin Psychopharmacol",3
"1113","Exp Clin Transplant",5
"1114","Exp Ther Med",9
"1115","Exp. Biol. Med. (Maywood)",11
"1116","Exp. Dermatol.",4
"1117","Exp. Eye Res.",1
"1118","Exp. Hematol.",1
"1119","Exp. Lung Res.",1
"1120","Exp. Mol. Pathol.",2
"1121","Exp. Physiol.",2
"1122","Experientia",1
"1123","Expert Opin Biol Ther",11
"1124","Expert Opin Drug Deliv",2
"1125","Expert Opin Drug Discov",12
"1126","Expert Opin Drug Metab Toxicol",167
"1127","Expert Opin Drug Saf",20
"1128","Expert Opin Emerg Drugs",9
"1129","Expert Opin Investig Drugs",13
"1130","Expert Opin Med Diagn",3
"1131","Expert Opin Orphan Drugs",1
"1132","Expert Opin Pharmacother",62
"1133","Expert Opin Ther Pat",3
"1134","Expert Opin. Ther. Targets",12
"1135","Expert Rev Anti Infect Ther",2
"1136","Expert Rev Anticancer Ther",4
"1137","Expert Rev Cardiovasc Ther",16
"1138","Expert Rev Clin Immunol",9
"1139","Expert Rev Clin Pharmacol",33
"1140","Expert Rev Endocrinol Metab",2
"1141","Expert Rev Gastroenterol Hepatol",7
"1142","Expert Rev Hematol",3
"1143","Expert Rev Mol Med",2
"1144","Expert Rev Neurother",12
"1145","Expert Rev Ophthalmol",1
"1146","Expert Rev Pharmacoecon Outcomes Res",6
"1147","Expert Rev Precis Med Drug Dev",2
"1148","Expert Rev Respir Med",5
"1149","Expert Rev. Mol. Diagn.",63
"1150","EXS",1
"1151","Eye (Lond)",3
"1152","F1000 Biol Rep",1
"1153","F1000Res",8
"1154","Fa Yi Xue Za Zhi",2
"1155","Fam Med",1
"1156","Fam. Cancer",1
"1157","Farm Hosp",6
"1158","Farmakol Toksikol",1
"1159","FASEB J.",2
"1160","FDA Consum",7
"1161","FEBS J.",3
"1162","FEBS Lett.",18
"1163","FEBS Open Bio",1
"1164","Fed Regist",2
"1165","Fed. Proc.",6
"1166","FEMS Microbiol. Lett.",2
"1167","FEMS Yeast Res.",1
"1168","Fertil. Steril.",5
"1169","Fetal Pediatr Pathol",1
"1170","Fibrogenesis Tissue Repair",1
"1171","Find Brief",1
"1172","Fitoterapia",2
"1173","Fiziol Cheloveka",2
"1174","Fluids Barriers CNS",1
"1175","Food Chem",1
"1176","Food Chem. Toxicol.",1
"1177","Food Drug Law J",8
"1178","Forensic Sci Int Genet",1
"1179","Forensic Sci Med Pathol",1
"1180","Forensic Sci. Int.",12
"1181","Fortschr Neurol Psychiatr",2
"1182","Fortune",8
"1183","Free Radic. Biol. Med.",7
"1184","Front Aging Neurosci",2
"1185","Front Behav Neurosci",1
"1186","Front Biosci (Elite Ed)",5
"1187","Front Biosci (Landmark Ed)",4
"1188","Front Biosci (Schol Ed)",1
"1189","Front Cell Infect Microbiol",1
"1190","Front Cell Neurosci",1
"1191","Front Endocrinol (Lausanne)",9
"1192","Front Genet",37
"1193","Front Health Serv Manage",1
"1194","Front Immunol",4
"1195","Front Med",4
"1196","Front Med (Lausanne)",2
"1197","Front Microbiol",2
"1198","Front Mol Biosci",1
"1199","Front Neurol",2
"1200","Front Neurol Neurosci",2
"1201","Front Neurosci",6
"1202","Front Oncol",2
"1203","Front Pediatr",3
"1204","Front Pharmacol",91
"1205","Front Physiol",4
"1206","Front Psychiatry",3
"1207","Front Synaptic Neurosci",1
"1208","Front Syst Neurosci",2
"1209","Front. Biosci.",3
"1210","Frontline Gastroenterol",2
"1211","Fukuoka Igaku Zasshi",4
"1212","Funct. Integr. Genomics",2
"1213","Fundam Clin Pharmacol",17
"1214","Future Cardiol",14
"1215","Future Med Chem",3
"1216","Future Oncol",18
"1217","Future Sci OA",3
"1218","G Chir",1
"1219","G Ital Cardiol (Rome)",2
"1220","G Ital Dermatol Venereol",1
"1221","G Ital Nefrol",4
"1222","G3 (Bethesda)",1
"1223","Gac Med Mex",4
"1224","Gan To Kagaku Ryoho",17
"1225","Gaoxiong Yi Xue Ke Xue Za Zhi",1
"1226","Gastric Cancer",2
"1227","Gastroenterol Hepatol",1
"1228","Gastroenterol Hepatol (N Y)",2
"1229","Gastroenterol Res Pract",1
"1230","Gastroenterol. Clin. North Am.",4
"1231","Gastroenterology",21
"1232","Gastrointest Cancer Res",4
"1233","Geburtshilfe Frauenheilkd",2
"1234","Gen Hosp Psychiatry",3
"1235","Gen. Pharmacol.",1
"1236","Gend Med",3
"1237","Gene",25
"1238","Gene Ther.",8
"1239","Genes (Basel)",6
"1240","Genes Brain Behav.",5
"1241","Genes Cells",13
"1242","Genes Dev.",1
"1243","Genes Environ",1
"1244","Genes Genet. Syst.",1
"1245","Genes Immun.",3
"1246","Genet Res (Camb)",1
"1247","Genet Test Mol Biomarkers",22
"1248","Genet. Couns.",1
"1249","Genet. Epidemiol.",4
"1250","Genet. Med.",41
"1251","Genet. Mol. Biol.",2
"1252","Genet. Mol. Res.",10
"1253","Genet. Test.",2
"1254","Genetics",12
"1255","Genewatch",3
"1256","Genom Data",3
"1257","Genome",1
"1258","Genome Announc",5
"1259","Genome Biol Evol",1
"1260","Genome Biol.",12
"1261","Genome Inform",1
"1262","Genome Integr",3
"1263","Genome Med",29
"1264","Genome Res.",10
"1265","Genomic Med",3
"1266","Genomics",8
"1267","Genomics Proteomics Bioinformatics",11
"1268","Geriatrics",1
"1269","Gesundheitswesen",1
"1270","Ghana Med J",3
"1271","Gigascience",1
"1272","Ginekol. Pol.",4
"1273","Glob Health Epidemiol Genom",2
"1274","Glob Public Health",1
"1275","GMHC Treat Issues",1
"1276","GMS Health Technol Assess",1
"1277","Graefes Arch. Clin. Exp. Ophthalmol.",3
"1278","Growth Horm. IGF Res.",1
"1279","Gut",8
"1280","Gut Liver",2
"1281","Gynakol Geburtshilfliche Rundsch",1
"1282","Gynecol. Endocrinol.",3
"1283","Gynecol. Oncol.",6
"1284","Haematologica",11
"1285","Haemophilia",1
"1286","Hamostaseologie",1
"1287","Handb Clin Neurol",6
"1288","Handb Exp Pharmacol",16
"1289","Harefuah",8
"1290","Harv Health Lett",2
"1291","Harv Heart Lett",2
"1292","Harv Ment Health Lett",2
"1293","Harv Rev Psychiatry",4
"1294","Hastings Cent Rep",2
"1295","Hautarzt",2
"1296","Hawaii J Med Public Health",1
"1297","Hawaii Med J",1
"1298","HBPD INT",3
"1299","Head Neck",3
"1300","Headache",2
"1301","Health (London)",1
"1302","Health Aff (Millwood)",11
"1303","Health Commun",1
"1304","Health Data Manag",1
"1305","Health Educ Behav",1
"1306","Health Matrix Clevel",2
"1307","Health Policy",3
"1308","Health Promot Pract",1
"1309","Health Serv J",2
"1310","Health Serv Res",1
"1311","Health Serv Res Manag Epidemiol",1
"1312","Health Technol Assess",3
"1313","Hear. Res.",1
"1314","Heart",5
"1315","Heart Advis",1
"1316","Heart Dis",2
"1317","Heart Fail Clin",9
"1318","Heart Fail Rev",10
"1319","Heart Rhythm",5
"1320","Heliyon",1
"1321","Hematol. Oncol. Clin. North Am.",2
"1322","Hematology",2
"1323","Hematology Am Soc Hematol Educ Program",12
"1324","Hemoglobin",1
"1325","Hepat Med",1
"1326","Hepatol Commun",1
"1327","Hepatol Int",2
"1328","Hepatol. Res.",3
"1329","Hepatology",30
"1330","Hereditas",1
"1331","High Throughput",1
"1332","Hippocampus",1
"1333","HIV Clin Trials",2
"1334","HIV Med.",2
"1335","HLA",4
"1336","HNO",1
"1337","Hopkins HIV Rep",2
"1338","Horm Behav",1
"1339","Horm Cancer",1
"1340","Horm Res Paediatr",2
"1341","Horm. Metab. Res.",5
"1342","Horm. Res.",2
"1343","Hormones (Athens)",4
"1344","Hosp Health Netw",2
"1345","Hosp Med",1
"1346","Hosp Pharm",1
"1347","Hosp Pract (1995)",2
"1348","Hosp Q",2
"1349","HPB (Oxford)",1
"1350","Hu Li Za Zhi",1
"1351","Hum Exp Toxicol",1
"1352","Hum Genome Var",2
"1353","Hum Genomics Proteomics",3
"1354","Hum Psychopharmacol",18
"1355","Hum. Biol.",2
"1356","Hum. Gene Ther.",3
"1357","Hum. Genet.",18
"1358","Hum. Genomics",22
"1359","Hum. Hered.",6
"1360","Hum. Immunol.",7
"1361","Hum. Mol. Genet.",34
"1362","Hum. Mutat.",33
"1363","Hum. Pathol.",2
"1364","Hum. Reprod.",1
"1365","Hum. Reprod. Update",1
"1366","Hybrid. Hybridomics",1
"1367","Hybridoma (Larchmt)",1
"1368","Hypertens. Res.",4
"1369","Hypertension",15
"1370","IARC Sci. Publ.",1
"1371","Ideggyogy Sz",1
"1372","IDrugs",25
"1373","IEEE Eng Med Biol Mag",1
"1374","IEEE J Biomed Health Inform",2
"1375","IEEE Trans Nanobioscience",1
"1376","IEEE/ACM Trans Comput Biol Bioinform",2
"1377","Ig Sanita Pubbl",2
"1378","ILAR J",2
"1379","Immun Inflamm Dis",2
"1380","Immunogenetics",3
"1381","Immunol Allergy Clin North Am",6
"1382","Immunol. Cell Biol.",1
"1383","Immunol. Invest.",4
"1384","Immunol. Lett.",1
"1385","Immunol. Res.",3
"1386","Immunopharmacol Immunotoxicol",1
"1387","Immunotherapy",3
"1388","In Vitro Cell. Dev. Biol. Anim.",1
"1389","In Vivo",1
"1390","Ind Psychiatry J",1
"1391","Indian Heart J",1
"1392","Indian J Clin Biochem",2
"1393","Indian J Dermatol",1
"1394","Indian J Hematol Blood Transfus",1
"1395","Indian J Hum Genet",11
"1396","Indian J Med Sci",1
"1397","Indian J Nephrol",1
"1398","Indian J Palliat Care",1
"1399","Indian J Pediatr",4
"1400","Indian J Pharm Sci",2
"1401","Indian J Pharmacol",9
"1402","Indian J. Biochem. Biophys.",2
"1403","Indian J. Exp. Biol.",1
"1404","Indian J. Med. Res.",16
"1405","Indian J. Physiol. Pharmacol.",1
"1406","Indian Pacing Electrophysiol J",1
"1407","Infect Disord Drug Targets",1
"1408","Infect. Dis. Clin. North Am.",2
"1409","Infect. Genet. Evol.",9
"1410","Infection",2
"1411","Infez Med",1
"1412","Inflamm. Bowel Dis.",12
"1413","Inflamm. Res.",1
"1414","Inflammation",2
"1415","Inflammopharmacology",1
"1416","Injury",1
"1417","Int Anesthesiol Clin",2
"1418","Int Angiol",1
"1419","Int Clin Psychopharmacol",7
"1420","Int J Alzheimers Dis",1
"1421","Int J Appl Basic Med Res",1
"1422","Int J Bioinform Res Appl",1
"1423","Int J Biomed Sci",1
"1424","Int J Chron Obstruct Pulmon Dis",2
"1425","Int J Circumpolar Health",2
"1426","Int J Clin Exp Med",4
"1427","Int J Clin Exp Pathol",8
"1428","Int J Clin Pharm",13
"1429","Int J Clin Pharmacol Ther",30
"1430","Int J Clin Pharmacol Ther Toxicol",2
"1431","Int J Colorectal Dis",2
"1432","Int J Comput Biol Drug Des",1
"1433","Int J Data Min Bioinform",1
"1434","Int J Eat Disord",1
"1435","Int J Endocrinol",8
"1436","Int J Environ Res Public Health",13
"1437","Int J Epidemiol",1
"1438","Int J Food Sci Nutr",1
"1439","Int J Genomics",3
"1440","Int J Geriatr Psychiatry",1
"1441","Int J Health Serv",2
"1442","Int J Hepatol",1
"1443","Int J HIV AIDS Res",1
"1444","Int J Hyperthermia",1
"1445","Int J Immunopathol Pharmacol",4
"1446","Int J Med Inform",4
"1447","Int J Med Sci",3
"1448","Int J Mol Epidemiol Genet",3
"1449","Int J Mol Sci",61
"1450","Int J Nanomedicine",6
"1451","Int J Obes (Lond)",1
"1452","Int J Obstet Anesth",2
"1453","Int J Pediatr",1
"1454","Int J Pediatr Endocrinol",1
"1455","Int J Pharm",9
"1456","Int J Pharm Compd",7
"1457","Int J Psychiatry Clin Pract",2
"1458","Int J Psychiatry Med",1
"1459","Int J Rheum Dis",4
"1460","Int J Risk Saf Med",1
"1461","Int J STD AIDS",3
"1462","Int J Stroke",2
"1463","Int J Technol Assess Health Care",6
"1464","Int Rev Psychiatry",8
"1465","Int Surg",1
"1466","Int Urol Nephrol",1
"1467","Int. Arch. Allergy Immunol.",2
"1468","Int. Immunopharmacol.",5
"1469","Int. J. Antimicrob. Agents",5
"1470","Int. J. Biochem. Cell Biol.",5
